Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1-August-2018,155.00,156.00,153.00,155.35,154.831025674157861779,100607,636,15577085.00,20009,19.89,3.00,0.35
31-July-2018,156.00,158.75,154.50,155.15,157.289268120783196658,544844,1250,85698114.00,446840,82.01,4.25,-0.85
30-July-2018,154.50,157.25,151.55,155.85,155.482134438351405672,161204,1452,25064342.00,49080,30.45,5.70,1.35
27-July-2018,153.40,155.10,152.25,154.65,154.325965492390521005,117945,1063,18201976.00,39012,33.08,2.85,1.25
26-July-2018,151.50,155.65,150.00,153.45,151.617848229659863144,1359541,1452,206130681.00,1147779,84.42,5.65,1.95
25-July-2018,156.00,157.00,149.95,150.95,154.761700337954373294,872603,2687,135045524.00,661378,75.79,7.05,-5.05
24-July-2018,158.00,158.95,156.75,157.25,157.778005194038264090,149017,1220,23511605.00,58046,38.95,2.20,-0.75
23-July-2018,155.00,159.50,154.95,158.15,158.154511475054621621,110762,958,17517510.00,30943,27.94,4.55,3.15
20-July-2018,154.25,155.70,154.25,155.30,155.149819072717455251,248166,1652,38502910.00,198049,79.81,1.45,1.05
19-July-2018,154.00,155.80,154.00,154.50,155.100161063015904972,99340,1155,15407650.00,37353,37.60,1.80,0.50
18-July-2018,155.25,156.05,153.25,155.10,154.812777330876819679,77074,1153,11932040.00,26528,34.42,2.80,-0.15
17-July-2018,155.70,155.95,153.20,155.35,154.648137928977315097,67049,914,10369003.00,28527,42.55,2.75,-0.35
16-July-2018,152.50,156.50,152.35,155.70,155.173983236032745181,122644,1411,19031158.00,43733,35.66,4.15,3.20
13-July-2018,153.25,155.20,151.85,152.70,153.731592219020172910,55520,636,8535178.00,16516,29.75,3.35,-0.55
12-July-2018,153.50,154.35,152.75,153.90,153.803624688051616044,262864,1503,40429436.00,118696,45.15,1.60,0.40
11-July-2018,153.55,153.70,151.80,152.80,152.911204931106885706,665814,803,101810421.00,608228,91.35,1.90,-0.75
10-July-2018,151.50,154.15,151.50,153.85,153.131108013412199073,79629,938,12193677.00,22842,28.69,2.65,2.35
9-July-2018,151.00,151.85,150.40,151.10,151.079045931231044688,109468,2192,16538321.00,50763,46.37,1.45,0.10
6-July-2018,152.10,152.40,150.00,150.25,151.008979241227642608,3210739,1622,484850419.00,3064148,95.43,2.40,-1.85
5-July-2018,152.55,153.45,151.70,152.10,152.208961443264691819,6899469,1394,1050161011.00,6821648,98.87,1.75,-0.45
4-July-2018,154.50,155.70,152.30,153.00,153.101297473286245959,2476814,685,379203437.00,2428159,98.04,3.40,-1.50
3-July-2018,154.00,155.35,151.85,155.05,153.577359949731741505,82756,824,12709448.00,21980,26.56,3.50,1.05
2-July-2018,159.55,159.55,151.70,153.60,153.662149919076771515,227376,1838,34939085.00,32259,14.19,7.85,-5.95
29-June-2018,155.90,160.60,153.75,159.45,157.836615531609958065,113034,1232,17840904.00,27397,24.24,6.85,3.55
28-June-2018,153.50,157.25,149.45,156.05,153.065237629888340840,172937,1723,26470643.00,33914,19.61,7.80,2.55
27-June-2018,155.00,155.35,151.65,153.30,153.223553664769875769,129517,1099,19845055.00,23040,17.79,3.70,-1.70
26-June-2018,154.50,156.00,153.35,155.25,154.999792229378765842,48130,515,7460140.00,12732,26.45,2.65,0.75
25-June-2018,157.00,157.50,153.60,154.75,154.697445615492445875,77044,1327,11918510.00,24051,31.22,3.90,-2.25
22-June-2018,155.70,157.70,153.80,156.90,155.380746877168632893,46112,524,7164917.00,14919,32.35,3.90,1.20
21-June-2018,157.00,157.40,154.60,154.95,155.624191422177258652,65238,659,10152611.00,23547,36.09,2.80,-2.05
20-June-2018,155.45,157.55,155.45,156.80,156.898632815115360409,74679,1446,11717033.00,23999,32.14,2.10,1.35
19-June-2018,156.60,156.60,154.25,156.20,155.613403621653474334,62789,686,9770810.00,16429,26.17,2.35,-0.40
18-June-2018,157.50,157.65,156.00,156.70,156.871764016656902639,63157,2338,9907550.00,18470,29.24,1.65,-0.80
15-June-2018,159.25,159.25,154.80,156.05,155.975325235091557096,215767,1871,33654328.00,55949,25.93,4.45,-3.20
14-June-2018,160.30,162.15,158.00,158.35,158.762891332635929885,195965,7054,31111970.00,77398,39.50,4.15,-1.95
13-June-2018,160.85,162.25,160.10,160.30,160.616107175854635047,64940,820,10430410.00,24328,37.46,2.15,-0.55
12-June-2018,161.30,162.55,160.85,161.20,161.504424633199552602,60796,1224,9818823.00,24944,41.03,1.70,-0.10
11-June-2018,161.55,162.55,161.20,161.60,161.848457605214361971,71188,697,11521668.00,25352,35.61,1.35,0.05
8-June-2018,162.00,162.05,160.85,161.55,161.528395350651376862,51276,698,8282530.00,24996,48.75,1.20,-0.45
7-June-2018,162.50,163.40,161.95,162.30,162.665487853094934762,45526,501,7405509.00,17243,37.88,1.45,-0.20
6-June-2018,161.50,162.75,160.25,162.35,161.906496604881629656,185266,1130,29995769.00,88908,47.99,2.50,0.85
5-June-2018,162.00,162.55,160.10,161.10,160.925430928422497636,77217,777,12426179.00,19280,24.97,2.45,-0.90
4-June-2018,165.00,165.40,161.50,161.90,163.230431632770912298,95243,965,15546556.00,27323,28.69,3.90,-3.10
1-June-2018,167.50,167.55,164.10,164.25,165.170287297380092968,75079,854,12400820.00,32033,42.67,3.45,-3.25
31-May-2018,166.00,168.00,164.25,166.95,166.038633542819992513,101518,1883,16855910.00,36223,35.68,3.75,0.95
30-May-2018,165.80,168.25,164.25,165.30,166.279397279906289373,756371,1567,125768914.00,619133,81.86,4.00,-0.50
29-May-2018,169.40,169.40,165.00,165.80,166.252081411704324542,413061,1787,68672251.00,230617,55.83,4.40,-3.60
28-May-2018,166.00,169.60,165.60,167.35,167.698744690367676507,684134,3413,114728413.00,235485,34.42,4.00,1.35
25-May-2018,166.50,167.90,164.80,165.10,165.365598101520392566,397792,1174,65781112.00,305967,76.92,3.10,-1.40
24-May-2018,166.50,167.75,164.35,165.05,165.883872559843102619,76993,946,12771897.00,35523,46.14,3.40,-1.45
23-May-2018,164.20,168.00,164.20,166.35,166.894559421543011460,159597,2129,26635871.00,104918,65.74,3.80,2.15
22-May-2018,164.55,167.90,164.30,165.00,166.491408147113626276,1444217,2856,240449722.00,1264398,87.55,3.60,0.45
21-May-2018,165.10,167.10,162.55,164.35,164.336092198402051853,118527,1239,19478264.00,52373,44.19,4.55,-0.75
18-May-2018,167.45,168.00,165.60,166.35,166.958994159144352575,659150,1053,110051021.00,597759,90.69,2.40,-1.10
17-May-2018,169.00,170.60,166.90,167.45,167.998140297237238183,63451,763,10659650.00,22026,34.71,3.70,-1.55
16-May-2018,170.15,171.60,168.75,169.60,170.618395157812290868,1210362,1171,206510022.00,1111911,91.87,2.85,-0.55
15-May-2018,171.75,173.90,169.50,170.15,171.299929877833032043,155443,1035,26627375.00,89009,57.26,4.40,-1.60
14-May-2018,167.40,172.60,166.15,171.75,170.675748492218148911,194491,977,33194897.00,106841,54.93,6.45,4.35
11-May-2018,168.15,170.00,167.00,167.55,168.013184584178498985,527510,757,88628635.00,433534,82.18,3.00,-0.60
10-May-2018,170.00,171.80,167.75,168.15,168.222786476970200097,523995,1595,88147899.00,372204,71.03,4.05,-1.85
9-May-2018,171.25,172.20,169.85,170.20,170.491744131321292646,1470348,725,250682195.00,1280508,87.09,2.35,-1.05
8-May-2018,171.00,171.75,170.25,171.25,170.689751396136796853,2240110,895,382363819.00,2156516,96.27,1.50,0.25
7-May-2018,170.30,171.95,170.00,170.50,170.593272543059777102,74025,652,12628167.00,26278,35.50,1.95,0.20
4-May-2018,172.95,173.80,170.40,171.05,172.093879493784298353,71432,525,12293010.00,28358,39.70,3.40,-1.90
3-May-2018,170.45,175.85,170.20,174.40,172.828651007334509330,107710,3055,18615374.00,35075,32.56,5.65,3.95
2-May-2018,171.00,172.70,169.25,170.45,171.422320085929108485,93100,602,15959418.00,29034,31.19,3.45,-0.55
30-April-2018,170.00,172.45,169.95,172.05,171.733276084156290253,58225,428,9999170.00,19963,34.29,2.50,2.05
27-April-2018,172.50,172.50,169.50,170.85,170.174285953274094854,621668,740,105791908.00,516166,83.03,3.00,-1.65
26-April-2018,172.10,173.60,169.75,172.25,171.599575354322189765,73944,482,12688759.00,18523,25.05,3.85,0.15
25-April-2018,172.50,172.80,169.65,171.80,171.151922464283088685,81614,636,13968393.00,20424,25.03,3.15,-0.70
24-April-2018,174.00,176.20,172.10,172.90,173.500799569979170866,74415,534,12911062.00,17469,23.48,4.10,-1.10
23-April-2018,175.95,175.95,173.25,173.55,174.178779088674115795,153754,861,26780684.00,45390,29.52,2.70,-2.40
20-April-2018,178.80,178.80,173.30,174.25,175.426840351408664041,118836,772,20847024.00,35277,29.69,5.50,-4.55
19-April-2018,178.30,179.35,176.95,177.45,177.806867409229809348,141043,714,25078414.00,79325,56.24,2.40,-0.85
18-April-2018,177.85,179.85,176.25,178.30,177.845065660967034287,133108,1167,23672601.00,40589,30.49,3.60,0.45
17-April-2018,174.00,177.75,174.00,177.15,176.177706069427035314,1737594,3379,306125325.00,1505065,86.62,3.75,3.15
16-April-2018,171.00,174.05,169.85,173.70,172.857660477681059988,93284,889,16124854.00,31502,33.77,4.20,2.70
13-April-2018,169.45,171.50,169.30,171.05,170.969374932414544017,536358,850,91700792.00,473477,88.28,2.20,1.60
12-April-2018,168.05,169.50,167.40,169.25,168.575474979708800583,60371,693,10177070.00,16728,27.71,2.10,1.20
11-April-2018,169.90,170.25,167.75,168.40,168.909292297486198971,84414,1387,14258309.00,24620,29.17,2.50,-1.50
